Country,Year for percent GDP invested in education,Percent GDP invested in education,GDP (millions),Population 2018,Happiness Index,"Homicide per 100,000 people",Life Expectancy,%Children out of primary school,Region
,,,,2018,,,,,
Afghanistan,2017,4.1,"19,362.97","37,172,386.00",3.203,6.3459,64.486,,Middle East
Albania,2018,2.5,"15,102.50","2,866,376.00",4.719,2.6989,78.458,2.22159,Europe
Algeria,2008,4.3,"173,757.95","42,228,429.00",5.211,1.3594,76.693,0.51463,Africa
,,,,2018,,,,,
American Samoa,2006,14.6,636,"55,465.00",,5.3971,,,Oceania
,,,,2018,,,,,
Andorra,2018,3.2,"3,236.54",77006,,0,,,Europe
Angola,2010,3.4,"105,750.99","30,809,762.00",,4.8493,60.782,,Africa
Antigua and Barbuda,2009,2.5,"1,610.57","96,286.00",,10.333,76.885,2.44945,
,,,,2018,,,,,
Argentina,2017,5.5,"519,871.52","44,494,502.00",6.086,5.9426,76.52,0.43269,South America
,,,,2018,,,,,
Armenia,2017,2.7,"12,433.09","2,951,776.00",4.559,2.9781,74.945,7.68579,Middle East
Aruba,2016,6.2,"2,700.56","105,845.00",,1.9269,76.152,,Caribbean
Australia,2016,5.3,"1,433,904.35","24,982,688.00",7.228,0.9412,82.74878,0.31825,Oceania
,,,,2018,,,,,
Austria,2016,5.5,"455,285.82","8,840,521.00",7.246,0.6552,81.6439,0.04572,Europe
,,,,2017,,,,,
Azerbaijan,2017,2.5,"46,939.53","9,939,800.00",5.208,2.1413,72.864,2.06897,Middle East
Antigua and Barbuda,2009,2.5,,2018,,,,,
"Bahamas, The",2000,2.2,"12,424.50","385,640.00",,,73.752,,Caribbean
,,,,2018,,,,,
Bahrain,2017,2.3,"37,746.20","1,569,439.00",6.199,0.5238,77.163,0.52137,Middle East
,,,,2018,,,,,
Bangladesh,2018,2,"274,024.96","161,000,000.00",4.456,2.5031,72.32,,Asia
Barbados,2017,4.7,"5,145.00","286,641.00",,10.9072,79.081,3.44861,Caribbean
Belarus,2017,4.8,"59,662.50","9,483,499.00",5.323,3.5847,74.17561,0.85716,Europe
,,,,2018,,,,,
Belgium,2016,6.5,"542,761.09","11,433,256.00",6.923,1.949,81.59512,0.2759,Europe
,,,,2018,,,,,
Belize,2017,7.4,"1,871.20","383,071.00",,37.5992,74.496,0.32475,Central America
Benin,2018,4,"10,354.27","11,485,048.00",4.883,6.1828,61.47,2.96648,Africa
Bermuda,2017,1.5,"5,573.71","63,973.00",,12.9601,81.65171,,Caribbean
,,,,2018,,,,,
Bhutan,2018,6.6,"2,446.67","754,394.00",5.082,1.1293,71.46,10.30083,Africa
,,,,2018,,,,,
Bolivia,,,"40,287.65","11,353,142.00",5.779,6.3002,71.239,8.43425,South America
Bosnia and Herzegovina,,,"20,161.87","3,323,929.00",5.386,1.2754,77.262,,Europe
Botswana,2009,9.6,"18,616.02","2,254,126.00",3.488,15.0382,69.275,,Africa
,,,,2018,,,,,
Brazil,2015,6.2,"1,868,626.09","209,000,000.00",6.3,29.528,75.672,0.38774,South America
,,,,2013,,,,,
British Virgin Islands,2017,2.4,,"29,802.00",,8.3665,,,Caribbean
Brunei Darussalam,2016,4.4,"13,567.35","428,962.00",,0.493,75.722,0.383,Oceania
Bulgaria,2013,4.1,"65,132.95","7,025,037.00",5.011,1.136,74.86585,11.69972,Europe
,,,,2018,,,,,
Burkina Faso,2018,6,"14,124.78","19,751,535.00",4.587,0.3699,61.174,22.99493,Africa
,,,,2018,,,,,
Burundi,2018,5,"3,036.93","11,175,378.00",3.775,6.0205,61.247,4.32751,Africa
Cabo Verde,2017,5.2,"1,976.81","543,767.00",,,72.782,6.99469,Africa
Cambodia,2018,2.2,"24,542.47","16,249,798.00",4.7,1.8435,69.57,9.1966,Asia
,,,,2018,,,,,
Cameroon,2018,3.1,"38,675.21","25,216,237.00",5.044,4.1741,58.921,6.53192,Africa
,,,,2018,,,,,
Canada,2011,5.3,"1,713,341.70","37,057,765.00",7.278,1.6841,81.94878,0.1175,North America
Cayman Islands,2006,2.6,"5,141.83","64,174.00",,8.4499,,,Caribbean
Central African Republic,2011,1.1,"2,219.89","4,666,377.00",3.083,19.7574,52.805,,Africa
,,,,2018,,,,,
Chad,2018,2.2,"11,273.12","15,477,751.00",4.35,9.0403,53.977,,Africa
,,,,2018,,,,,
Channel Islands,,,"11,514.61","170,499.00",,,82.928,,Europe
Chile,2017,5.4,"298,231.13","18,729,160.00",6.444,3.4628,80.042,2.26992,South America
China,1999,1.9,"13,608,151.86","1,390,000,000.00",5.191,0.6156,76.704,,Asia
,,,,2018,,,,,
Colombia,2018,4.5,"331,047.04","49,648,685.00",6.125,25.5043,77.109,2.65404,South America
,,,,2018,,,,,
Comoros,2015,2.5,"1,177.96","832,322.00",3.973,7.7032,64.118,14.67772,Africa
"Congo, Dem. Rep.",2017,1.5,"47,227.54","84,068,091.00",4.418,,60.368,,Africa
"Congo, Rep.",2018,3.6,"11,263.68","5,244,363.00",,9.3225,64.29,,Africa
,,,,2017,,,,,
Costa Rica,2018,7,"60,130.11","4,999,441.00",7.167,11.905,80.095,3.24837,Central America
Cote d'Ivoire,2018,4.4,"43,007.05","25,069,229.00",,,57.422,11.22821,Africa
Croatia,2013,4.6,"60,971.70","4,087,843.00",5.432,1.0446,78.07073,1.36378,Europe
,,,,2018,,,,,
Cuba,2010,12.8,"100,023.00","11,338,138.00",,4.9877,78.726,4.31471,Caribbean
Curacao,2013,4.9,"3,127.91","159,800.00",,,,,Caribbean
Cyprus,2016,6.3,"24,961.99","1,189,265.00",5.718,1.1109,80.828,1.3404,Europe
,,,,2018,,,,,
Czech Republic,2016,5.6,"245,225.88","10,629,928.00",6.852,0.6126,78.97805,0.32281,Europe
,,,,2018,,,,,
Denmark,2014,7.6,"355,675.33","5,793,636.00",7.6,0.9807,81.35122,0.20221,Europe
Djibouti,2018,5.6,"2,955.91","958,920.00",,6.4847,66.582,40.03421,Africa
Dominica,2015,3.4,550.89,"71,625.00",,8.3661,,,Caribbean
,,,,2018,,,,,
Dominican Republic,2007,2,"85,555.39","10,627,165.00",5.425,15.1817,73.892,5.31317,Caribbean
,,,,2018,,,,,
Ecuador,2015,5,"108,398.06","17,084,357.00",6.028,5.8538,76.8,1.13854,South America
"Egypt, Arab Rep.",2008,3.8,"250,894.76","98,423,595.00",4.166,2.5133,71.825,0.55276,Africa
El Salvador,2018,3.6,"26,057.00","6,420,744.00",6.253,82.8423,73.096,14.56686,Central America
,,,,2018,,,,,
Equatorial Guinea,1998,2.2,"13,432.38","1,308,974.00",,2.3052,58.402,,Africa
,,,,2018,,,,,
Eritrea,2006,2.1,"2,607.74",,,8.0442,65.941,47.00545,Africa
Estonia,2016,5.2,"30,732.14","1,321,977.00",5.893,3.1931,78.5439,2.43254,Europe
Eswatini,2014,7.1,"4,710.62","1,136,191.00",,17.2924,59.401,17.40611,Africa
,,,,2018,,,,,
Ethiopia,2015,4.7,"84,355.60","109,000,000.00",4.286,7.5616,66.24,,Africa
,,,,2018,,,,,
Faroe Islands,,,"2,689.16","48,497.00",,,82.54878,,Europe
Fiji,2013,3.9,"5,536.76","883,483.00",,2.2578,67.341,,Oceania
Finland,2016,6.9,"276,743.12","5,515,525.00",7.769,1.4178,81.83415,1.15209,Europe
,,,,2018,,,,,
France,1999,5.7,"2,777,535.24","66,977,107.00",6.592,1.3522,82.52683,0.07547,Europe
,,,,2018,,,,,
French Polynesia,,,"3,447.54","277,679.00",,0.3765,77.462,,Oceania
Gabon,2014,2.7,"16,853.59","2,119,275.00",4.799,8.0428,66.187,,Africa
"Gambia, The",2018,2.4,"1,632.82","2,280,102.00",4.516,9.1285,61.735,19.84564,Africa
,,,,2018,,,,,
Georgia,2017,3.8,"17,599.66",3726549,4.519,0.9896,73.6,0.75896,Middle East
,,,,2018,,,,,
Germany,2016,4.8,"3,947,620.16","82,905,782.00",6.985,1.1762,80.99268,0.5293,Europe
Ghana,2018,4,"65,556.46","29,767,108.00",4.996,1.6838,63.78,2.17847,Africa
Gibraltar,,,,"33,718.00",,3.013,,,Europe
,,,,2018,,,,,
Greece,2005,4,"218,031.84","10,731,726.00",5.287,0.7504,81.2878,1.24924,Europe
Greenland,,,"2,707.15","56,025.00",,5.3137,,,North America
Grenada,2017,3.2,"1,185.93","111,454.00",,10.2493,72.384,,Caribbean
,,,,2018,,,,,
Guam,,,"5,920.00","165,768.00",,2.505,79.859,,Pacific
,,,,2011,,,,,
Guatemala,2018,2.9,"78,460.45","17,247,807.00",6.436,27.255,74.063,11.69229,Central America
Guinea,2018,2.6,"10,907.21","12,414,318.00",4.534,8.8246,61.185,,Africa
Guinea-Bissau,2013,2.1,"1,458.16","1,874,309.00",,9.5499,58.003,,Africa
,,,,2018,,,,,
Guyana,2018,5.9,"3,878.66","779,004.00",,18.3708,69.774,,South America
,,,,2018,,,,,
Haiti,2018,2.8,"9,658.72","11,123,176.00",3.597,10.0396,63.66,,Caribbean
Honduras,2018,6.1,"23,969.89","9,587,522.00",5.86,56.5157,75.088,17.46139,Central America
"Hong Kong SAR, China",2018,3.3,"362,682.02","7,451,000.00",5.43,0.3832,84.93415,2.2723,Asia
,,,,2018,,,,,
Hungary,2016,4.7,"157,882.91","9,775,564.00",5.758,2.0715,75.81707,2.57473,Europe
,,,,2018,,,,,
Iceland,2016,7.5,"25,878.48","352,721.00",7.494,0.3004,82.66098,0.04765,Europe
India,2013,3.8,"2,718,732.23","1,350,000,000.00",4.015,3.2237,69.416,,Asia
Indonesia,2015,3.6,"1,042,173.30","268,000,000.00",5.192,0.4951,71.509,5.0612,Oceania
,,,,2000,,,,,
"Iran, Islamic Rep.",2018,4,"454,012.77","81,800,269.00",4.548,2.469,76.479,0.22911,Middle East
,,,,2018,,,,,
Iraq,1989,3.6,"224,228.01","38,433,600.00",4.437,9.8545,70.454,,Middle East
Ireland,2016,3.7,"382,487.49","4,867,309.00",7.021,0.8021,82.60732,0.02866,Europe
Isle of Man,,,"6,770.53","84,077.00",,0,,,Europe
,,,,2018,,,,,
Israel,2016,5.8,"370,587.98","8,882,800.00",7.139,1.364,82.80244,0.25274,Middle East
,,,,2018,,,,,
Italy,2016,3.8,"2,083,864.26","60,421,760.00",6.223,0.6731,82.94634,2.52176,Europe
Jamaica,2018,5.4,"15,713.91","2,934,855.00",5.89,47.0111,74.368,13.82499,Caribbean
Japan,2016,3.2,"4,971,323.08","127,000,000.00",5.886,0.2835,84.21098,,Asia
,,,,2018,,,,,
Jordan,2018,3.6,"42,231.30","9,956,011.00",4.906,1.5476,74.405,19.78779,Middle East
,,,,2016,,,,,
Kazakhstan,2018,2.8,"179,339.99","18,272,430.00",5.809,4.8057,73.15,0.82388,Asia
Kenya,2018,5.3,"87,908.26","51,393,010.00",4.509,4.8734,66.342,,Africa
Kiribati,2001,12,188.28,"115,847.00",,7.5038,68.116,3.91249,Oceania
,,,,2018,,,,,
"Korea, Dem. People’s Rep.",,,,"25,549,819.00",,4.3958,72.095,,Asia
,,,,2018,,,,,
"Korea, Rep.",2016,4.6,"1,619,423.70","51,606,633.00",5.895,0.7011,82.62683,2.42258,Asia
Djibouti,2018,5.6,,2018,,,,,
Kosovo,,,"7,938.99","1,845,300.00",,,72.19512,,Europe
,,,,2018,,,,,
Kuwait,2006,3.8,"140,645.36","4,137,309.00",6.021,1.7965,75.398,,Middle East
,,,,2018,,,,,
Kyrgyz Republic,2017,6,"8,092.84","6,322,800.00",5.261,4.4854,71.4,0.29122,Asia
Dominican Republic,2007,2,,2018,,,,,
Lao PDR,2014,2.9,"17,953.79","7,061,507.00",4.796,7.01,67.61,7.50599,Asia
,,,,2018,,,,,
Latvia,2016,4.7,"34,409.23","1,927,174.00",5.94,3.3623,74.67805,1.5162,Europe
,,,,2018,,,,,
Lebanon,2013,2.4,"56,639.16","6,848,925.00",5.197,3.9931,78.875,,Middle East
"Egypt, Arab Rep.",2008,3.8,,2018,,,,,
Lesotho,2018,6.5,"2,738.79","2,108,132.00",3.802,41.2481,53.705,2.43418,Africa
,,,,2018,,,,,
Liberia,2018,2.6,"3,264.00","4,818,977.00",3.975,3.2285,63.73,21.35893,Africa
,,,,2018,,,,,
Libya,1999,2.3,"48,364.21","6,678,567.00",5.525,2.5039,72.724,,Africa
Equatorial Guinea,1998,2.2,,2018,,,,,
Liechtenstein,2011,2.6,"6,214.63","37,910.00",,0,83.74634,,Europe
,,,,2017,,,,,
Lithuania,2016,4,"53,429.07","2,801,543.00",6.149,5.2469,76.29024,0.22546,Europe
,,,,2018,,,,,
Luxembourg,2015,4,"70,885.33","607,950.00",7.09,0.719,82.09512,0.56809,Europe
Estonia,2016,5.2,,2018,,,,,
"Macao SAR, China",2017,2.7,"55,084.05","631,636.00",,,84.118,2.3362,Asia
,,,,2017,,,,,
Madagascar,2018,3.2,"13,853.43","26,262,368.00",3.933,7.6868,66.681,,Africa
,,,,2018,,,,,
Malawi,2018,4.7,"7,064.97","18,143,315.00",3.41,1.7332,63.798,,Africa
Ethiopia,2015,4.7,,2018,,,,,
Malaysia,2018,4.5,"358,581.94","31,528,585.00",5.339,2.1106,75.997,0.35436,Oceania
,,,,2018,,,,,
Maldives,2016,4.1,"5,327.46","515,696.00",,0.7549,78.627,4.12855,Asia
Fiji,2013,3.9,,2018,,,,,
Mali,2017,3.8,"17,163.43","19,077,690.00",4.39,10.9032,58.893,32.59488,Africa
,,,,2018,,,,,
Malta,2015,5.2,"14,553.42","484,630.00",6.726,0.9354,82.34634,0.23263,Europe
,,,,2018,,,,,
Marshall Islands,2003,12.2,221.28,"58,413.00",,,,,Oceania
France,1999,5.7,,2018,,,,,
Mauritania,2016,2.6,"5,234.82","4,403,319.00",4.49,9.9417,64.704,21.68001,Africa
,,,,2018,,,,,
Mauritius,2018,4.8,"14,220.35","1,265,303.00",5.888,1.8219,74.41634,1.10091,Africa
Gabon,2014,2.7,,2018,,,,,
Mexico,2016,4.9,"1,220,699.48","126,000,000.00",6.595,19.264,74.992,0.72876,Central America
,,,,2018,,,,,
"Micronesia, Fed. Sts.",2015,12.5,401.93,"112,640.00",,4.6746,67.755,,Oceania
,,,,2018,,,,,
Moldova,2018,5.5,"11,443.67","2,706,049.00",5.529,3.1942,71.808,9.14765,Europe
Georgia,2017,3.8,,2018,,,,,
