Country,Year for percent GDP invested in education,Percent GDP invested in education,GDP (millions),Population 2018,Happiness Index,"Homicide per 100,000 people",Life Expectancy,%Children out of primary school,Region,GDP per capita (thousands)
Afghanistan,2017.0,4.1,19362.97,37172386.0,3.2030000000000003,6.3459,64.486,,Middle East,0.5208966139542401
Albania,2018.0,2.5,15102.5,2866376.0,4.718999999999999,2.6989,78.458,2.22159,Europe,5.268848190188586
Algeria,2008.0,4.3,173757.95,42228429.0,5.211,1.3594,76.693,0.51463,Africa,4.114714994488665
Argentina,2017.0,5.5,519871.52,44494502.0,6.086,5.9426,76.52,0.43269,South America,11.683949625956034
Armenia,2017.0,2.7,12433.09,2951776.0,4.559,2.9781,74.945,7.68579,Middle East,4.212070970154917
Australia,2016.0,5.3,1433904.35,24982688.0,7.228,0.9412,82.74878000000001,0.31825,Oceania,57.39591952635361
Austria,2016.0,5.5,455285.82,8840521.0,7.246,0.6552,81.6439,0.04572,Europe,51.49988558366639
Azerbaijan,2017.0,2.5,46939.53,9939800.0,5.207999999999999,2.1413,72.86399999999999,2.06897,Middle East,4.72238173806314
Bahrain,2017.0,2.3,37746.2,1569439.0,6.199,0.5238,77.163,0.52137,Middle East,24.050759538918047
Bangladesh,2018.0,2.0,274024.96,161000000.0,4.456,2.5031,72.32,,Asia,1.7020183850931678
Belarus,2017.0,4.8,59662.5,9483499.0,5.3229999999999995,3.5847,74.17560999999999,0.85716,Europe,6.291190624894884
Belgium,2016.0,6.5,542761.09,11433256.0,6.922999999999999,1.949,81.59512,0.2759,Europe,47.4721365462297
Benin,2018.0,4.0,10354.27,11485048.0,4.883,6.1828,61.47,2.96648,Africa,0.9015434676459342
Bhutan,2018.0,6.6,2446.67,754394.0,5.082,1.1293,71.46,10.30083,Africa,3.2432256884333652
Botswana,2009.0,9.6,18616.02,2254126.0,3.488,15.0382,69.275,,Africa,8.25864215221332
Brazil,2015.0,6.2,1868626.09,209000000.0,6.3,29.528000000000002,75.672,0.38774,South America,8.940794688995215
Bulgaria,2013.0,4.1,65132.95,7025037.0,5.011,1.136,74.86585,11.69972,Europe,9.271545473710672
Burkina Faso,2018.0,6.0,14124.78,19751535.0,4.587,0.3699,61.174,22.99493,Africa,0.7151231537194451
Burundi,2018.0,5.0,3036.93,11175378.0,3.775,6.0205,61.247,4.32751,Africa,0.27175188168131764
Cambodia,2018.0,2.2,24542.47,16249798.0,4.7,1.8435,69.57,9.1966,Asia,1.510324620650669
